trial,set_size,target_word,distract_words,image_path
0,8,['itzal'],"autor,firma,comisión,concha,olfato,vanidad,profesor,criatura",../figures/Basque_0.jpeg
1,8,['xake'],"autor,rival,ladrón,gigante,estuche,bruja,cocinero,juguete",../figures/Basque_1.jpeg
2,4,['koadrila'],"guante,caucho,idiota,nube",../figures/Basque_2.jpeg
3,8,['testuinguru'],"taller,vencedor,fascinación,ceniza,conductor,adivina,delegado,moneda",../figures/Basque_3.jpeg
4,20,['barraskilo'],"época,pescado,cliente,candidato,cortina,usuario,juzgado,pintor,escritor,inventor,moneda,sequía,contexto,cordero,conductor,ahorro,emisor,ejercicio,arroyo,poeta",../figures/Basque_4.jpeg
5,8,['garagardo'],"anuncio,presidente,cerveza,vencedor,confesor,jugador,padre,pesimista",../figures/Basque_5.jpeg
6,8,['iragarpen'],"carretera,cabrón,comisión,mariposa,pandilla,vendedor,invención,roble",../figures/Basque_6.jpeg
7,4,['olerkari'],"invención,criatura,página,vanidad",../figures/Basque_7.jpeg
8,4,['lehorte'],"presidente,página,sequía,restaurante",../figures/Basque_8.jpeg
9,20,['arkume'],"árbol,olor,concha,conductor,vanidad,enemigo,mujer,guante,juguete,ubicación,caucho,vendedor,presidente,fibra,invitado,viento,edición,autor,caracol,inventor",../figures/Basque_9.jpeg
10,8,['bezero'],"fibra,ejercicio,enemigo,gallo,criatura,obispo,cinturón,caracol",../figures/Basque_10.jpeg
11,8,['errauts'],"piedra,criatura,mariposa,emisor,obispo,regla,cordero,triunfo",../figures/Basque_11.jpeg
12,20,['oilar'],"regla,logro,edición,periodista,enemigo,asesino,posada,profesor,árbol,presidente,pandilla,pesimista,caucho,mujer,cocinero,estuche,recado,sequía,arroyo,peregrino",../figures/Basque_12.jpeg
13,4,['kutxatila'],"árbol,ceniza,guardián,cobijo",../figures/Basque_13.jpeg
14,20,['usaimen'],"fascinación,candidato,árbol,criatura,cinturón,comisión,vencedor,ladrón,ejercicio,juzgado,carretera,idiota,pandilla,logro,ceniza,presidente,concha,mariposa,secretario,peregrino",../figures/Basque_14.jpeg
15,8,['koadrila'],"enemigo,censo,recurso,usuario,guante,gallo,sequía,ceniza",../figures/Basque_15.jpeg
16,8,['ariketa'],"pintor,curación,reglamento,lector,piedra,muchacho,idiota,profesor",../figures/Basque_16.jpeg
17,4,['erabiltzaile'],"experto,cerdo,curación,robo",../figures/Basque_17.jpeg
18,4,['aterpe'],"lista,aprendiz,página,muchacho",../figures/Basque_18.jpeg
19,8,['bezero'],"partícula,logro,dicha,cordero,ejercicio,parcela,guardián,nube",../figures/Basque_19.jpeg
20,8,['lantegi'],"enfermera,cocinero,apertura,gallo,contexto,olor,fibra,viento",../figures/Basque_20.jpeg
